"x","y"
1,-0.326036490515386
2,0.552461855419139
3,-0.67494384395583
4,0.214359459043425
5,0.310769217313602
6,1.1739662875627
7,0.618789855625968
8,-0.112734314754215
9,0.917028289512712
10,-0.223259364627263
11,0.526448098873642
12,-0.794844435415055
13,1.42775554468304
14,-1.46681969416347
15,-0.236683378602896
16,-0.1933379649975
17,-0.849754740333862
18,0.0584654978495017
19,-0.817670355875958
20,-2.05030781563963
21,-0.163755665941423
22,0.708522104156376
23,-0.267980546181617
24,-1.46392175987102
25,0.744435822875318
26,-1.4103901810052
27,0.467067606015246
28,-0.119320107694245
29,0.467238961765515
30,0.498135564435914
31,0.894937200540396
32,0.279151996413743
33,1.00786575031424
34,-2.07310649057379
35,1.18985338378285
36,-0.724374218369974
37,0.167983772348879
38,0.920335158580844
39,-1.67160481202292
40,0.448469069614306
41,0.482458809858766
42,0.758213782399003
43,-2.31932736896749
44,-0.459504780196151
45,-1.10538366697927
46,0.402928273406297
47,0.568934917844047
48,-0.706083282429614
49,-0.290090625815567
50,-1.48387807160556
51,-1.15025528126137
52,-0.274471161816463
53,0.577901002861171
54,-1.39690264657703
55,0.74905771616478
56,-1.05118669692296
57,0.165380870625706
58,1.12980912049522
59,1.17372246423572
60,-0.427863231850421
61,-0.259802107839475
62,-1.41117304365668
63,-0.641357554081644
64,0.112457509152448
65,0.422604331138563
66,0.386835291215675
67,-0.687798326082019
68,0.148902488663005
69,-0.0576497484824952
70,-0.0748233649223828
71,1.50989743811878
72,1.61993700793992
73,1.1531581669848
74,-0.0776035954486494
75,-1.81893450079797
76,-1.03744458273607
77,0.302492245643734
78,-1.27794616724639
79,0.138339047584972
80,-0.0509841237610558
81,1.85214757493023
82,1.11167526953782
83,-0.51137532176584
84,-0.54388110381726
85,-1.72892728363495
86,0.470749538951291
87,0.00538712217177903
88,1.34804578555275
89,0.724096713299373
90,1.5525491646626
91,1.32546983172223
92,-0.0342650924931979
93,-0.36101339765776
94,-0.720165422308313
95,0.282014933367502
96,-0.790525663563787
97,-0.444904550728676
98,1.3649931693787
99,0.49745433829489
100,-0.814396475841322
