"x","y"
1,0.18052290181967
2,0.784734040102267
3,-1.35316457378718
4,1.9832982062599
5,1.23847170449276
6,1.20061739613939
7,0.896149884213138
8,0.253689755074539
9,0.54960034085866
10,1.90337105101613
11,1.44453361419033
12,0.11529575813592
13,-0.627254080381819
14,-1.26948873038106
15,-0.227820146960574
16,-0.260488270439973
17,-1.57414328087232
18,1.7544243110669
19,-1.67831119811683
20,0.531144492515116
21,0.752592556472638
22,-0.210276885520406
23,-1.31920618074945
24,-0.981390613753917
25,-0.356859618384834
26,-0.185267990760674
27,0.0823645925888276
28,0.173498141039255
29,1.09204904159518
30,2.01213539410378
31,1.36401767624368
32,-0.0639493072107857
33,-1.09956407721102
34,-0.155296014711219
35,1.1990245323003
36,2.11698139694073
37,1.71750372787893
38,-0.362180793901034
39,0.0324720593378105
40,3.11433335922956
41,0.407401403982149
42,0.0483094822529588
43,-0.910132644934182
44,-0.272157549962303
45,0.404688951278023
46,-0.997861012573554
47,2.73645082838239
48,-1.12055052115138
49,0.432924499712695
50,-0.565677147091363
51,1.39370982163601
52,1.08339246751843
53,-1.23137852060719
54,-0.0853258227952417
55,-0.758326729943804
56,0.532502224052814
57,-0.412018489579944
58,1.58705165684902
59,-0.585427068095875
60,0.0325265841001236
61,-0.677511210360452
62,-0.569317144032596
63,0.225575122759523
64,1.80986857245701
65,1.94244066229701
66,0.820373805494592
67,-0.200774389639763
68,-0.78119129735591
69,0.0537770848685392
70,0.570192120133598
71,-0.46301895029146
72,0.35153371259337
73,-0.558705879601699
74,0.00489555130379433
75,1.17650019887042
76,2.00546245155837
77,-1.56652825111248
78,-0.15172248062956
79,-0.140537176073389
80,-0.218421557501499
81,0.0468960793723366
82,-1.75835034494289
83,-1.74056472002572
84,-0.26735871366502
85,0.853736668685525
86,-0.310132104313349
87,-1.81801775114401
88,-0.00714405432183245
89,-0.703753606168996
90,0.146940852053517
91,-0.495301907366074
92,-1.33003552881708
93,-0.519532192618748
94,-1.141705370465
95,1.43574534662064
96,-0.0451390950767849
97,-1.04461240650532
98,-1.04201782633948
99,0.0529810486905361
100,0.513161150308321
